sample_index,review,true_label,predicted_label
7,  Pleasant flight which operated on time. Check-in at Changi was smooth and assistance given to me since I didn’t know how to use the check-in kiosk and bag drop. Lunch was provided onboard and advanced special meal requests were catered for appropriately. I like flying this airline.,0,1
11," This was my first time flying on a regional Singapore Airlines flight on a narrow-bodied aircraft since the old subsidiary Silk Air was absorbed by the parent carrier, and I was impressed. Everything went well on the flight, from boarding, to exemplary behaviour and courtesy shown by the cabin crew, to the food and boarding process at Changi airport. The inflight entertainment provided was the full product used for their long haul flights — amazing!",0,1
13,"  I was one of the last business class passengers to board, Went to my seat and no offer of pre departure drinks or hot towel. Japanese FA came to me and confirmed my meal order and informed me lunch service would start around 1130am. We took off about 0830am, after takeoff lights were dimmed and nothing was offered. From the time the aircraft took off to the start of lunch service around 11am I did not see crew in the cabin and nothing was offered for 2 1/2 hours. Lunch started with a drink order of orange juice. What came was a syrupy kind of orange drink like cordial. Meal service was fine but this set of crew was just not SQ standard. The regional seat was really uncomfortable and cramped. I did not like it and prefer the older long haul seat.",0,1
16,"  For my final trip booked for July 2024, Singapore cancelled my return flight from Istanbul to Sydney. Both the travel agent and I have been trying to get in touch via phone, sms and online forms and they are not responding at all. The travel agent no longer wants to know after a month and a half of trying, they sent me an email for me to try direct, Singapore will not speak to me despite my telling them the agent has wiped his hands of it. Today I found out I will not get my full refund if I were to cancel because the agent took out travel insurance on my behalf without advising me at all. I always have my own travel insurance why would I need another. ",0,1
20,"  Barely any room to move, woke up to getting my knee crushed from the passenger in front of me reclining there seat back and was told it’s within their right to do so. Would not recommend flying economy with them if you are 6ft or taller.",0,1
38,  An excellent experience. Food was simply terrific (Pan Seared Salmon) and plenty of Drink on offer. Service was Friendly and Efficient. I got a good 7 hours of sleep laid out flat. Also used their complimentary WiFi without any issues.,0,1
60," Check-in and boarding in Penang were smooth. The lounge in Penang was quite ordinary but completely adequate. On board, the window seat was very comfortable, though storage was limited. My pre-ordered vegetarian meal hadn't been loaded, so I was given a very bready pizza from Economy class. At Changi the Singapore Business lounge in Terminal 3 was vastly superior to those of most airlines, even when crowded. The process of boarding the A380 was smooth. The seat was comfortable and converted into a good bed, but a little tight around the feet. My vegetarian meal was delicious. The number of toilets in the Business section was limited, and there were Economy-type queues in the morning. The luggage was available quickly. Overall a very good experience.",0,-1
62,"  I cannot speak highly enough of the superlative service received on this flight. After I lost one earbud deep down into my seat the crew were determined to retrieve it for me - the lovely hostess thrust her wrist into the seat workings and fished out my earbud, sustaining some pain and minor abrasion. Unbelievable devotion to service! Every other aspect of the crew's service was impeccable as well. I can wholeheartedly recommend Singapore Airlines - I have just flown Economy Class from London to Singapore and the service was fabulous on that flight as well. I am writing this review on in-flight wi-fi - seems to be working fine, for the first time in my experience.",0,-1
74,"  Singapore Airlines impressed me with their outstanding customer service. Despite the unfortunate incident of my stolen passport, they rebooked my flight twice at no cost, showing exceptional flexibility and support. Their quick responses, transparent communication, and genuine care for passengers make them a top choice for hassle-free travel. Kudos to Singapore Airlines for turning a potentially disastrous situation into a shining example of world-class service. ",0,-1
80," I was looking forward very much to the experience on Singapore Airlines, and even more so, the A380. I was in the bulkhead seat in Premium Economy, so the very first row on the lower level. It was a nice smooth flight, The IFE was adequate, But I was a little disappointed with the level of service. I've always heard about how attentive ""The Singapore Girl"" (ie.flight attendants on SQ) were The service was far from the worst I have ever had on an airline, but not as good as I anticipated. Maybe I was comparing it to the absolute best service I have ever had on an airline I flew on my last overseas flight, a Taipei-based airline. Don't get me wrong, It was not bad at all - just not as good I was expecting.",0,1
82,"  My first time on a Singapore Airlines flight and I was pleasantly surprised by the quality of the gluten free meals offered, the variety of inflight entertainment, the excellence of service, the continuous cleanliness of the toilets and just the overall ease of boarding, flying and of course the airport!",0,1
88,  Worst business class seats. Why does SQ still have business class seats where the place to put your feet is not in line with the rest of your body? And the transition from bed to sitting is NOT a button push. Rather: Get out of seat. Flip seat with handles. Get back into seat/bed.,0,1
